text,label
Dobar dan svima. Molim tvoju pažnju za pregled budžeta za kvartal. Možeš me kontaktirati ako imaš pitanja. Srdačan pozdrav.,0
"Važno bezbednosno upozorenje, Sistem nije primio Vašu uplatu. Ažurirajte podatke kartice na portalu. Ako to ne uradite u roku od 2 sata nalog će biti trajno blokiran. Ref: 1203785. — Služba identifikacije korisnika (refund-portal-secure.com)",1
"Obaveštenje tima — Ažuriranje SLA sporazuma: Dokument su pregledali svi relevantni sektori. Vidimo se uskoro, milos.stojanovic@firma.rs.",0
Tim izveštaj: Obaveštenje o tehničkom održavanju sistema. Detalji su navedeni u priloženom dokumentu. Termin: sredu u 13:00. Vidimo se uskoro.,0
Draga koleginice. Podsetnik za godišnju procenu: Sve izmene su evidentirane u internom sistemu. Molim odgovor kada stigneš. Hvala unapred.,0
"Dobro jutro, prosleđujem izmena rasporeda dežurstava. Sastanak je potvrđen prema našem dogovoru. Rok: utorak u 15:30. Hvala na saradnji. [tijana.kovac@partner.rs]",0
Važno bezbednosno upozorenje. Automatski sistem je detektovao: Vaš nalog je uključen u masovnu bezbednosnu proveru. Priložite sliku lične karte radi potvrde odmah. Neodazivanje aktivira blokadu svih servisa.,1
Važna poruka. Evidentirali smo sledeće: Primili smo zahtev za brisanje Vašeg naloga. Ažurirajte podatke kartice na portalu. Neodazivanje aktivira blokadu svih servisa.,1
Informacija — Plan nabavke opreme. Izveštaj je završen i spreman za prezentaciju rukovodstvu. Sledeći korak planiran za utorak u 09:00. Puno pozdrava.,0
Dragi saradniče. Tim je završio poziv na timski sastanak. Dokument su pregledali svi relevantni sektori. Rok sledeće aktivnosti: utorak. Puno pozdrava.,0
Drago mi je da te obavestim o rezultati kvartalne analize. Prosleđujem zapisnik svima koji su bili na sastanku. Slobodan/na si da pitaš. Lep pozdrav.,0
Poštovani. Curenje podataka: Zahtev za obnovu istekao je pre nekoliko minuta. Odmah pristupite sistemu i odobrite isplatu. Neće biti moguće obnavljanje naloga nakon isteka roka. Tim: Sistem za upravljanje rizikom.,1
Sistemska poruka: Čeka Vas neisplaćena nagrada koju treba preuzeti. Molimo Vas da kliknite na sledeći link i potvrdite identitet. Neće biti moguće obnavljanje naloga nakon isteka roka. — Administrativni tim platforme.,1
Sistem za detekciju prevara: Pristup servisu je ograničen zbog bezbednosnog alarma. Hitno pristupite portalu i odobrite zahtev. Rok za žalbu ističe u roku od jednog sata. Referenca: 7590897.,1
Poštovani. Plan za izmena rasporeda dežurstava je spreman. Ovo je samo podsetnik — nema hitnih akcija. Termin: utorak. Srdačan pozdrav.,0
Draga koleginice. Tim je završio zapisnik sa poslednjeg sastanka. Podaci su ažurirani u skladu sa poslednjim izmenama. Rok sledeće aktivnosti: četvrtak. Hvala unapred.,0
"Podsetnik: Ažuriranje SLA sporazuma. Izveštaj je završen i spreman za prezentaciju rukovodstvu. Dokument dostupan u deljenom folderu. Hvala unapred, racunovodstvo@preduzece.rs.",0
"Poštovani, u prilogu je materijal za potvrda rezervacije termina. Termin možemo pomeriti ako ti ne odgovara. Kontakt: prodaja@partner.rs. Lepo se čuvaj.",0
Automatsko obaveštenje — Vaš nalog je premašio dozvoljeni broj transakcija. Transakcija €29 je na čekanju. Unesite podatke kartice radi potvrde identiteta. Sredstva će biti trajno zamrznuta bez Vaše akcije.,1
Upozorenje! KYC verifikacija nije završena. Iznos: 1.290 RSD. Pošaljite nam kopiju platne kartice za proveru u roku od 90 minuta. Neodazivanje rezultira automatskim gašenjem naloga. — delivery-hold-center.org.,1
Dobar dan. Vezano za naš razgovor o obaveštenje o novom kolegi: Rok za Vašu povratnu informaciju je naredni petak. Hvala na saradnji.,0
"Pozdrav ekipo, u prilogu je materijal za poziv na timski sastanak. Planiramo kratku diskusiju na kraju radnog dana. Kontakt: tijana.kovac@partner.rs. Ostajemo u kontaktu.",0
Korisnik. Hitno: Zabeleženo je prijavljivanje sa VPN adrese nepoznate lokacije. Rok 120 minuta. Skenite QR kod i verifikujte nalog. Iznos: 24.000 RSD. Neodazivanje rezultira automatskim gašenjem naloga. Kod: 6106543.,1
"Podsećanje: Plan za onboarding novog zaposlenog. Sve izmene su evidentirane u internom sistemu. Planiran termin je ponedeljak. Hvala unapred, prodaja@partner.rs.",0
Korisnik. Servis upozorava: Poreski organ je blokirao isplatu sredstava na Vaš račun. Pristupite portalu i odobrite zahtev pre 20:00. Sredstva će biti trajno zamrznuta bez Vaše akcije.,1
Korisnik #10459959: Vaša lozinka je kompromitovana u nedavnom curenju podataka. Iznos transakcije: 9.750 RSD. Preuzmite aplikaciju i potvrdite biometrijsku verifikaciju. Nalog će biti prenet na odeljenje za prevare bez Vaše potvrde. [account-protection-alert.net],1
Direktan poziv. Vaše podatke treba ažurirati odmah. Vaša akcija je neophodna u roku od 25 minuta. Pošaljite nam kopiju platne kartice za proveru. Ako to ne uradite u roku od 2 sata nalog će biti trajno blokiran. [access-restore-portal.com],1
"Pozdrav, prosleđujem interna obuka zaposlenih. Molim te da potvrdiš prijem ove poruke. Rok: sredu u 11:30. Do čujenja. [marko.petrovic@firma.rs]",0
"Dobro jutro, Nacrt ugovora za potvrdu. Dokument su pregledali svi relevantni sektori. Termin: četvrtak u 14:00. Do čujenja. — tim@firma.rs",0
Hitno obaveštenje. Servis upozorava: Promena lozinke nije potvrđena u zadatom roku. Otvorite priloženi dokument i unesite podatke pre 120:00. Neobraćanje uzrokuje trajni gubitak naloga.,1
Informacija — Informacija o novim pravilnicima. Faktura je izdata kroz redovni računovodstveni proces. Sledeći korak planiran za petak u 11:30. Lepo se čuvaj.,0
Pozdrav. Napomena o podsetnik za godišnju procenu: Sastanak je potvrđen prema našem dogovoru. Odgovori do utorak. Lep pozdrav.,0
Dobro jutro. Evo kratkog sažetka o raspored dolazaka u kancelariju. Nema promena u rasporedu — samo potvrda dogovora. Puno pozdrava. Kontakt: tim@firma.rs.,0
"Dobar dan svima. Podsećam na interna obuka zaposlenih. Predlažem da razgovorimo o tome na sledećem sastanku. Termin: 11:00, ponedeljak. Ugodan ostatak dana.",0
"Hitno obaveštenje, detektovali smo: Nalog prikazuje neregularno ponašanje. Ažurirajte podatke kartice na portalu. Kod 87813279. Bez potvrde nema isplate sredstava. Kontakt: account-hold-notice.net.",1
"Dobar dan svima, u prilogu je materijal za poziv na timski sastanak. Predlažem da razgovorimo o tome na sledećem sastanku. Kontakt: hr@kompanija.rs. Pozdrav i dobar rad.",0
Draga koleginice. Sažetak sa poslovnog putovanja: Svaki od koraka je dokumentovan u sistemu za praćenje. Molim odgovor kada stigneš. Lep pozdrav.,0
Servisno upozorenje. Nalog ID 20390545: Vaša pretplata ističe u roku od 24 sata. Kliknite na dugme ispod i ažurirajte profil. Sredstva će biti trajno zamrznuta bez Vaše akcije.,1
Servisno upozorenje. Na Vašem nalogu je zabeleženo: Vaša kartica je privremeno onemogućena. Unesite jednokratni kod koji ste primili SMS-om u roku od 60 min. Bez potvrde nema isplate sredstava. Platni centar.,1
HITNO: Zahtev za obnovu istekao je pre nekoliko minuta. Pozovite naš broj podrške odmah što je pre moguće. Rok za potvrdu ističe danas u 23:59. Podrška: transactioncheck-now.biz.,1
Obaveštenje za korisnika. Platni sistem je zabeležio: Pristup servisu je ograničen zbog bezbednosnog alarma. Popunite bezbednosni upitnik na priloženom linku. Referentni broj: 32642904. Neodazivanje aktivira blokadu svih servisa.,1
Sistemska obaveza. Automatski sistem je detektovao: Čeka Vas neisplaćena nagrada koju treba preuzeti. Kliknite na dugme ispod i ažurirajte profil odmah. Neodazivanje rezultira automatskim gašenjem naloga.,1
"Poštovani. Podsećam na izmena rasporeda dežurstava. Izveštaj je završen i spreman za prezentaciju rukovodstvu. Termin: 13:00, kraj sedmice. Lep pozdrav.",0
Dragi korisniče. Platni sistem je zabeležio: Neuspešna dvostruka autentifikacija zabeležena je tri puta. Unesite podatke kartice radi potvrde identiteta. Referentni broj: 75639623. Zahtev ističe za 60 minuta od prijema poruke.,1
"Poruka administratora sistema, Vaš nalog (3874005) zahteva pažnju: Povraćaj sredstava čeka Vašu potvrdu. Unesite podatke kartice radi potvrde identiteta. Zanemarivanje ove poruke povlači naplatu kazne od 3.500 RSD.",1
Dragi kolega. Potvrda: potvrda rezervacije termina. Budžet je odobren i možemo nastaviti sa planiranim aktivnostima. Planiramo sledeći ponedeljak u 16:00. Ugodan ostatak dana. — tim@firma.rs,0
Pozdrav ekipo. Šaljem kratak pregled — nova bezbednosna politika. U prilogu šaljem materijal za pregled — slobodan/na si da komentarišeš. Do čujenja. [office@kompanija.rs],0
"Pozdrav, imam informaciju o pozivnica za team building. Prosleđujem zapisnik svima koji su bili na sastanku. Pišite mi ako treba dopuna. Ugodan ostatak dana.",0
Poruka br. 7131962: Pokušaj neovlašćenog pristupa je zabeležen. Pošaljite nam kopiju platne kartice za proveru. Rokovi se ne mogu produžiti. Vaš zahtev za povraćaj biće automatski odbijen.,1
Informacija — Potvrda rezervacije termina. Termin možemo pomeriti ako ti ne odgovara. Sledeći korak planiran za utorak u 10:00. Do čujenja.,0
"Poštovana koleginice. Podsećam na podsetnik za godišnju procenu. Rok za Vašu povratnu informaciju je naredni petak. Termin: 14:00, kraj sedmice. Hvala na saradnji.",0
Hitno obaveštenje. Automatski sistem je detektovao: Vaše podatke treba ažurirati odmah. Pristupite sistemu i odobrite isplatu odmah. Sredstva će biti trajno zamrznuta bez Vaše akcije.,1
Korisnik #67732632: Sistem nije primio Vašu uplatu. Iznos transakcije: $99. Priložite sliku lične karte radi potvrde. Neobraćanje uzrokuje trajni gubitak naloga. [paymentcheck-secure.co],1
Hitno obaveštenje. Evidentirali smo sledeće: Identitet korisnika nije potvrđen. Pozovite naš broj podrške odmah. Neodazivanje aktivira blokadu svih servisa.,1
"Obaveštavamo Vas, detektovali smo: Isplata na Vaš račun je vraćena pošiljaocu. Pratite instrukcije u priloženom PDF dokumentu. Kod 79406280. Bez verifikacije pristup će biti trajno ukinut. Kontakt: kyc-verification-center.org.",1
Dobro jutro. Šaljem kratak pregled — poziv na timski sastanak. Izveštaj je završen i spreman za prezentaciju rukovodstvu. Lep pozdrav. [office@kompanija.rs],0
"Podsetnik: Informacija o novim pravilnicima. Izveštaj je završen i spreman za prezentaciju rukovodstvu. Dokument dostupan u deljenom folderu. Vidimo se uskoro, it@organizacija.rs.",0
Dobar dan svima. Obaveštenje o novom kolegi: Javi ako ti treba dodatno pojašnjenje. Molim odgovor kada stigneš. Ugodan ostatak dana.,0
"Dobar dan svima. Podsećam na obaveštenje o tehničkom održavanju sistema. Budžet je odobren i možemo nastaviti sa planiranim aktivnostima. Termin: 16:30, ponedeljak. Srdačan pozdrav.",0
"Zdravo, šaljem informaciju u vezi sa izmena rasporeda dežurstava. Dokument su pregledali svi relevantni sektori. Rok: četvrtak. Puno pozdrava.",0
"Poštovani klijente. Servisna obaveza: Neuobičajena aktivnost je zabeležena na Vašem profile. Kliknite na dugme ispod i ažurirajte profil. Bez toga, bez potvrde nema isplate sredstava.",1
Poruka administratora sistema. Primetili smo da Transakcija je privremeno zadržana radi provere. Popunite bezbednosni upitnik na priloženom linku. Rok za žalbu ističe u roku od jednog sata. — Sistem za prevenciju prevara.,1
Zdravo. Plan za mesečni finansijski izveštaj je spreman. Plan aktivnosti je usaglašen sa timom. Termin: ponedeljak. Lep pozdrav.,0
Bezbednosni alarm: Zabeleženo je prijavljivanje sa VPN adrese nepoznate lokacije. Iznos zahvata $99. Odgovorite na ovu poruku sa svojim podacima. Sve transakcije će biti obustavljene bez potvrde. Ref 51821048.,1
"Dragi saradniče, prosleđujem podsetnik za godišnju procenu. Prosleđujem zapisnik svima koji su bili na sastanku. Rok: sledeći petak u 12:00. Srdačan pozdrav. [podrska@servis.rs]",0
Obaveštenje za korisnika. Servis upozorava: Vaša pretplata ističe u roku od 24 sata. Pošaljite nam kopiju platne kartice za proveru pre 15:00. Neodazivanje aktivira blokadu svih servisa.,1
"Dragi klijente. Automatski sistem je detektovao: Identitet korisnika nije potvrđen. Ažurirajte podatke kartice na portalu odmah. Ukoliko ignorišete ovu poruku, sredstva ne mogu biti povraćena.",1
Sistem otkrio: Identitet korisnika nije potvrđen. Neophodno: preuzmite PDF i verifikujte nalog. Nalog će biti prenet na odeljenje za prevare bez Vaše potvrde. Pošiljalac: Centar za kibernetičku bezbednost.,1
Dragi saradniče. Prosleđujem na uvid — nacrt ugovora za potvrdu. U prilogu šaljem materijal za pregled — slobodan/na si da komentarišeš. Srdačan Srdačan pozdrav.,0
Napomena za tim: Nova tehnička dokumentacija. Detalji su navedeni u priloženom dokumentu. Termini i detalji su u prilogu. Lepo se čuvaj.,0
HITNO: Identitet korisnika nije potvrđen. Potvrdite uplatu klikom na dugme u nastavku što je pre moguće. Bez verifikacije pristup će biti trajno ukinut. Podrška: transactioncheck-now.biz.,1
Korisnik #33965734: Vaša lozinka je kompromitovana u nedavnom curenju podataka. Iznos transakcije: 38.200 RSD. Potvrdite bezbednosni kod u roku od jednog sata. Sve transakcije će biti obustavljene bez potvrde. [account-hold-notice.net],1
ALARM — safelogin-rs-center.info: Promena lozinke nije potvrđena u zadatom roku. Ažurirajte podatke kartice na portalu odmah. Bez verifikacije pristup će biti trajno ukinut.,1
Korisnik #13352837: Sistem nije primio Vašu uplatu. Iznos transakcije: $9.99. Kliknite na sledeći link i potvrdite identitet. Zanemarivanje ove poruke povlači naplatu kazne od 3.500 RSD. [antifraud-banking-help.net],1
Korisnik #87109826: Vaš nalog je premašio dozvoljeni broj transakcija. Iznos transakcije: €99. Otvorite priloženi dokument i unesite podatke. Neodazivanje aktivira blokadu svih servisa. [delivery-hold-center.org],1
Upozorenje! Vaša lozinka je kompromitovana u nedavnom curenju podataka. Iznos: $19.99. Ažurirajte podatke kartice na portalu u roku od 120 minuta. Kasniji zahtevi neće biti razmatrani. — user-validation-system.info.,1
Napomena za tim: Podsećanje na rok predaje. Svaki od koraka je dokumentovan u sistemu za praćenje. Termini i detalji su u prilogu. Lepo se čuvaj.,0
"Dragi klijente, Vaša lozinka je kompromitovana u nedavnom curenju podataka. Preuzmite PDF i verifikujte nalog. Rok za potvrdu ističe danas u 23:59. Ref: 33113738. — Administrativni tim platforme (emergency-nalog-alert.com)",1
"Podsećanje: Informacija o novim pravilnicima. Javi ako ti treba dodatno pojašnjenje. Planiran termin je sredu. Hvala na saradnji, direktor@firma.rs.",0
Dragi klijente. Promena lozinke nije potvrđena u zadatom roku. Vaša akcija je neophodna u roku od 10 minuta. Pozovite naš broj podrške odmah. Ako to ne uradite u roku od 2 sata nalog će biti trajno blokiran. [refund-portal-secure.com],1
Poruka br. 53520705: Otkriven je malver na uređaju sa kojeg se prijavljujete. Kliknite na sledeći link i potvrdite identitet. Rokovi se ne mogu produžiti. Vaš zahtev za povraćaj biće automatski odbijen.,1
Dragi kolega. Šaljem kratak pregled — obaveštenje o tehničkom održavanju sistema. Faktura je izdata kroz redovni računovodstveni proces. Puno pozdrava. [ana.jovanovic@kompanija.rs],0
"Registrovana je neuspešna naplata Vaše kartice. Unesite podatke kartice radi potvrde identiteta. Bez odlaganja. Bez potvrde nema isplate sredstava. — Sistem za upravljanje rizikom, antifraud-banking-help.net.",1
Pozdrav. Napomena o interna obuka zaposlenih: Izveštaj je završen i spreman za prezentaciju rukovodstvu. Odgovori do kraj sedmice. Vidimo se uskoro.,0
Dragi saradniče. Raspored dolazaka u kancelariju: Plan aktivnosti je usaglašen sa timom. Molim odgovor kada stigneš. Srdačan pozdrav.,0
"Poštovani, imam informaciju o ažuriranje projekta. Rok za Vašu povratnu informaciju je naredni petak. Pišite mi ako treba dopuna. Lepo se čuvaj.",0
Korisnik. Vaša pretplata ističe u roku od 24 sata. Transakcija od €49 je zadržana. Otvorite prilog i preuzmite verifikacioni formular. Zahtev ističe za 60 minuta od prijema poruke.,1
HITNO: Povraćaj sredstava čeka Vašu potvrdu. Potvrdite uplatu klikom na dugme u nastavku što je pre moguće. Svako kašnjenje može dovesti do sudskog postupka. Podrška: antifraud-banking-help.net.,1
Sistem za detekciju prevara: Automatska uplata od strane treće strane je odbijena. Hitno unesite podatke kartice radi potvrde identiteta. Rok za žalbu ističe u roku od jednog sata. Referenca: 71396009.,1
Dragi tim. Šaljem kratak pregled — informacija o novim pravilnicima. Kolege iz drugog odeljenja su uključene u ovaj proces. Hvala unapred. [office@kompanija.rs],0
Važna poruka. Nalog prikazuje neregularno ponašanje. Transakcija od 12.500 RSD je zadržana. Potvrdite uplatu klikom na dugme u nastavku. Neodazivanje rezultira automatskim gašenjem naloga.,1
Važno bezbednosno upozorenje. Primili smo zahtev za brisanje Vašeg naloga. Vaša akcija je neophodna u roku od 120 minuta. Kliknite na dugme ispod i ažurirajte profil. Sredstva će biti trajno zamrznuta bez Vaše akcije. [delivery-hold-center.org],1
Zdravo svima. Napomena o nova tehnička dokumentacija: Obavesti me ako nešto nije jasno ili treba korekcija. Odgovori do sledeći ponedeljak. Hvala na saradnji.,0
Zdravo svima. Potvrda: plan godišnjeg odmora. U prilogu šaljem materijal za pregled — slobodan/na si da komentarišeš. Planiramo četvrtak u 16:30. Do čujenja. — projekti@agencija.rs,0
Važno bezbednosno upozorenje. Evidentirali smo sledeće: Zahtev za obnovu istekao je pre nekoliko minuta. Otvorite prilog i preuzmite verifikacioni formular. Sve transakcije će biti obustavljene bez potvrde.,1
Dobar dan svima. Prosleđujem na uvid — izmena rasporeda dežurstava. Ovo je samo podsetnik — nema hitnih akcija. Srdačan Hvala unapred.,0
Poštovani. Vezano za obaveštenje o isporuci — Detalji su navedeni u priloženom dokumentu. Dostupan/na sam za sva pitanja. Hvala na saradnji.,0
"Dragi tim, imam informaciju o obaveštenje o tehničkom održavanju sistema. Planiramo kratku diskusiju na kraju radnog dana. Pišite mi ako treba dopuna. Lepo se čuvaj.",0
"Poruka administratora sistema. Servisna obaveza: Detektovana je prijava sa nepoznate lokacije. Skenite QR kod i verifikujte nalog. Bez toga, kasniji zahtevi neće biti razmatrani.",1
Dragi tim. Evo kratkog sažetka o poziv na intervju. Ovo je samo podsetnik — nema hitnih akcija. Pozdrav i dobar rad. Kontakt: prodaja@partner.rs.,0
Napomena za tim: Ažuriranje SLA sporazuma. U prilogu šaljem materijal za pregled — slobodan/na si da komentarišeš. Termini i detalji su u prilogu. Hvala na saradnji.,0
Draga koleginice. Molim tvoju pažnju za obaveštenje o tehničkom održavanju sistema. Konačna verzija dokumenta je dostupna na deljenom disku. Hvala unapred.,0
Upozorenje! Registrovana je neuspešna naplata Vaše kartice. Iznos: 1.290 RSD. Kliknite na dugme ispod i ažurirajte profil u roku od 10 minuta. Rok za potvrdu ističe danas u 23:59. — user-validation-system.info.,1
Korisnik. Hitno: Sistem nije primio Vašu uplatu. Rok 45 minuta. Ažurirajte podatke kartice na portalu. Iznos: 75.000 RSD. Zanemarivanje ove poruke povlači naplatu kazne od 3.500 RSD. Kod: 35219165.,1
"Ažuriranje — Potvrda rezervacije termina. Ovo je samo podsetnik — nema hitnih akcija. Termin za sledeće korake: kraj sedmice. Do čujenja, podrska@servis.rs.",0
HITNO: Neuobičajena aktivnost je zabeležena na Vašem profile. Pristupite portalu i odobrite zahtev što je pre moguće. Neodazivanje aktivira blokadu svih servisa. Podrška: safelogin-rs-center.info.,1
"Obaveštenje tima — Poziv na intervju: Rok za Vašu povratnu informaciju je naredni petak. Vidimo se uskoro, podrska@servis.rs.",0
ALARM — access-restore-portal.com: Vaš nalog je uključen u masovnu bezbednosnu proveru. Pristupite portalu i odobrite zahtev odmah. Rok za žalbu ističe u roku od jednog sata.,1
Poštovani. Organizujemo sažetak sa poslovnog putovanja za sredu u 16:00. Molim da pripremiš prezentaciju za petak. Hvala unapred.,0
"Pozdrav, Raspored dolazaka u kancelariju. Možeš me kontaktirati ako imaš pitanja. Termin: ponedeljak u 13:00. Ugodan ostatak dana. — projekti@agencija.rs",0
"Kolega, šaljem informaciju u vezi sa potvrda rezervacije termina. Dogovorili smo se prošle nedelje — ovo je zvanična potvrda. Rok: utorak. Lep pozdrav.",0
Poštovani. Curenje podataka: Transakcija je privremeno zadržana radi provere. Odmah otvorite prilog i preuzmite verifikacioni formular. Kasniji zahtevi neće biti razmatrani. Tim: Istraga finansijskih prevara.,1
Direktan poziv. Automatska uplata od strane treće strane je odbijena. Vaša akcija je neophodna u roku od 30 minuta. Potvrdite bezbednosni kod u roku od jednog sata. Kasniji zahtevi neće biti razmatrani. [login-verify-update.biz],1
"Kolega, Interna obuka zaposlenih. Svaki od koraka je dokumentovan u sistemu za praćenje. Termin: petak u 11:00. Do čujenja. — milos.stojanovic@firma.rs",0
Dobar dan svima. Sažetak sa poslovnog putovanja: Dogovorili smo se prošle nedelje — ovo je zvanična potvrda. Molim odgovor kada stigneš. Pozdrav i dobar rad.,0
"Servisno upozorenje. Platni sistem je zabeležio: Vaša pretplata ističe u roku od 24 sata. Popunite bezbednosni upitnik na priloženom linku. Referentni broj: 77175435. Ukoliko ignorišete ovu poruku, sredstva ne mogu biti povraćena.",1
Pozdrav. Šaljem kratak pregled — odobrenje troškova putovanja. Molim te da potvrdiš prijem ove poruke. Ugodan ostatak dana. [stefan.nikolic@preduzece.rs],0
Obaveštenje — Obaveštenje o tehničkom održavanju sistema: Planiramo kratku diskusiju na kraju radnog dana. Za više detalja obrati mi se direktno. Pozdrav i dobar rad.,0
Važno bezbednosno upozorenje. Evidentirali smo sledeće: Poreski organ je blokirao isplatu sredstava na Vaš račun. Posetite naš portal i resetujte lozinku. Neodazivanje aktivira blokadu svih servisa.,1
"Obaveštavamo Vas, Vaš nalog (65953859) zahteva pažnju: Neuobičajena aktivnost je zabeležena na Vašem profile. Otvorite priloženi dokument i unesite podatke. Ako to ne uradite u roku od 2 sata nalog će biti trajno blokiran.",1
Sistemska poruka: Automatska uplata od strane treće strane je odbijena. Molimo Vas da obnovite pristup klikom na sledeći link. Rok za potvrdu ističe danas u 23:59. — Sistem za prevenciju prevara.,1
"Obaveštavamo Vas. Curenje podataka: Vaš nalog je privremeno zaključan zbog sumnjive aktivnosti. Odmah potvrdite uplatu klikom na dugme u nastavku. Ukoliko ignorišete ovu poruku, sredstva ne mogu biti povraćena. Tim: Sistem za upravljanje rizikom.",1
"Zdravo svima, Ažuriranje SLA sporazuma. Plan aktivnosti je usaglašen sa timom. Termin: sledeći ponedeljak u 14:30. Hvala unapred. — marko.petrovic@firma.rs",0
Kolega. Mesečni finansijski izveštaj: Svaki od koraka je dokumentovan u sistemu za praćenje. Molim odgovor kada stigneš. Hvala na saradnji.,0
UPOZORENJE #3516441 — Detektovana je prijava sa nepoznate lokacije. Pozovite naš broj podrške odmah. Iznos: $99. Vaš zahtev za povraćaj biće automatski odbijen. Podrška: Sistem za upravljanje rizikom.,1
Pozdrav. Obaveštavam Vas o pregled otvorenih zadataka. Javi ako ti treba dodatno pojašnjenje. Molim Vas za sledeći ponedeljak. Pozdrav i dobar rad.,0
Obaveštenje: Identitet korisnika nije potvrđen. Pošaljite nam kopiju platne kartice za proveru. Kod #96857483. Rok za žalbu ističe u roku od jednog sata. Pošiljalac: transactioncheck-now.biz.,1
Pozdrav ekipo. Ovim putem potvrđujem interna obuka zaposlenih. Detalji su navedeni u priloženom dokumentu. Srdačan pozdrav. — projekti@agencija.rs,0
"Ažuriranje — Poziv na intervju. U prilogu šaljem materijal za pregled — slobodan/na si da komentarišeš. Termin za sledeće korake: petak. Ugodan ostatak dana, stefan.nikolic@preduzece.rs.",0
